,gold_sents,pegasus_output_sents
113,"This 2017 lawsuit was brought by three detectives of the NYPD in the U.S. District Court for the Southern District of New York.[SENTMARKER]The plaintiffs claimed that the City of New York and various agents of the NYPD had violated Title VII of the Civil Rights Act of 1964 by implementing a secretive policy of refusing to promote deserving African American detectives solely based on race.[SENTMARKER]The parties reached a confidential settlement that was reported to include $700,000 in damages to cover backpay and loss of reputation.","On December 14, 2011, a group of African-American detectives in the New York Police Department's Intelligence Division filed a class action lawsuit in the U.S. District Court for the Southern District of New York under Title VII of the Civil Rights Act of 1964 (Title VII) against the City, the NYPD's Deputy Commissioner David Cohen, and Assistant Chief Galati.[SENTMARKER]The complaint alleged that the defendants violated Title VII by denying or delaying promotions to African-Americans in the Intelligence Division based solely on their race.[SENTMARKER]The case was dismissed by the EEOC in March 2016, and the case was transferred to the District Court.[SENTMARKER]In November 2018, the parties filed a motion for summary judgment, which was granted by Judge Gregory H. Summons.[SENTMARKER]The parties agreed to settle the case in May 2019.[SENTMARKER]The parties also agreed to pay hundreds of thousands of dollars in attorney's fees and costs.[SENTMARKER]The settlement is subject to court approval."
114,"Current and former Black FDNY employees sued the City of New York alleging racial discrimination in their hiring, promotion, and compensation practices.[SENTMARKER]Plaintiffs sought to represent a class of individuals similarly situated who suffered from FDNY's policies that afforded too much discretion to higher-level individuals and fostered a culture of favoritism that harmed Black candidates for hiring and advancement.[SENTMARKER]The City filed a motion to dismiss and the Court partially granted the motion, but sustained the plaintiffs' claims related to the hiring and promotion practices with the FDNY.[SENTMARKER]The City moved for partial summary judgment in May 2020, arguing that the retired class representatives could not seek relief.[SENTMARKER]At the same time, the plaintiffs moved to certify the class.[SENTMARKER]Both motions were pending as of February 11, 2021.","In December 2017, a group of African American employees of the Fire Department of New York (the ""FDNY"") filed a lawsuit against the City, raising claims under 42 U.S.C.  1983 and the New York City Human Rights Law (""NYHRL,"" N.Y.C Admin.[SENTMARKER]Code  8-101 et seq.) alleging that the FDNY discriminated against African Americans and Hispanics in its hiring, promotion, and compensation practices.[SENTMARKER]The FDNY settled the case in 2015, and the parties entered into a settlement concerning both monetary relief and injunctive relief.[SENTMARKER]The case is now closed."
115,"In 2006, the Equal Employment Opportunity Commission (EEOC) and the plaintiff-intervenor, the complainant, filed this class action lawsuit against Pitt-Ohio  Express, Inc., a transport company, in the U.S. District Court for the Northern District of Ohio.[SENTMARKER]The plaintiffs alleged that Pitt-Ohio discriminated against women by refusing to hire women as truck drivers or dockworkers, in violation of Title VII 42 U.S.C. § 2000e.[SENTMARKER]On October 1, 2008, the court approved a settlement agreement between the plaintiff-intervenor and Pitt-Ohio.[SENTMARKER]The defendant agreed to pay $265,000 in monetary relief and  $305,000 in attorney fees and costs.[SENTMARKER]That same month, the court approved a consent decree between EEOC and Pitt-Ohio.[SENTMARKER]This decree required the defendant to pay $$2,430,000 to EEOC (to be distributed to women that were affected by the defendant’s discrimination), to adopt anti-discrimination policies, to offer driver and/or dockworker positions to the women that were discriminated against, and regularly report to the EEOC to ensure compliance.[SENTMARKER]This decree had a duration of five years.","On March 31, 2006, the Equal Employment Opportunity Commission (""EEOC"") filed this suit in the U.S. District Court for the Northern District of Ohio against Pitt Ohio Express, LLC (""Pitt Ohio"") alleging that Pitt Ohio violated Title VII of the Civil Rights Act of 1964 (""Title VII"") by failing to hire a qualified female applicant for a truck driver or dockworker position based on her sex.[SENTMARKER]The complaint alleged that since September 1, 1997, Pitt Ohio failed to hire or offer positions to other female applicants because of their gender.[SENTMARKER]Pitt Ohio agreed to a consent decree in which it agreed to comply with the terms of Title VII, including hiring practices and procedures which comply with Title VII and the hiring process and types of questions to be asked of applicants.[SENTMARKER]The decree also required Pitt Ohio to implement an equal opportunity component in its personnel policies and procedures.[SENTMARKER]The consent decree was approved by the court on October 8, 2008 and is effective for five years."
116,"In August 2001, the Cleveland District Office filed this lawsuit against Sundance Rehabilitation Corporation in the U.S. District Court for the Northern District of Ohio alleging violation of the Age Discrimination in Employment Act, Title I of the Americans with Disabilities Act of 1990, the Equal Pay Act of 1963, and Title VII of the Civil Rights Act of 1964.[SENTMARKER]The complaint specifically alleged that the defendant required terminated employees to sign a waiver of claims against the defendant, including EEO violations, in order to receive severance pay.[SENTMARKER]Following discovery and motions for summary judgment for both parties, the District Court granted summary judgment to the EEOC in July 2004.[SENTMARKER]The defendant appealed the decision to the U.S. Court of Appeals for the Sixth Circuit in September 2004.[SENTMARKER]The Court of Appeals reversed the District Court's judgment in October 2006.[SENTMARKER]The U.S. Supreme Court granted an extension of time to file a petition for a writ of certiorari in June 2007.[SENTMARKER]However, the docket does not indicate that this option was exercised.","The Equal Employment Opportunity Commission (EEOC) filed this suit in the U.S. District Court for the Northern District of Ohio under the antiretaliation provisions of the Americans with Disabilities Act (ADA), the Equal Pay Act (EPA), and Title VII of the Civil Rights Act of 1964 against defendant SunDance Rehabilitation Corporation (SunDance).[SENTMARKER]The EEOC alleged that SunDance violated Title VII by requiring employees fired in a reduction in force to waive their rights to file an EEOC charge and to participate in EEOC proceedings as a condition of receiving severance pay.[SENTMARKER]The district court granted the EEOC's motion for summary judgment in favor of SunDance.[SENTMARKER]On appeal, SunDance appealed, claiming that the district court's decision to grant summary judgment to the EEOC violated its right to a fair and just trial.[SENTMARKER]The Supreme Court of the United States denied SunDance's appeal."
117,"On May 25, 2007 the United States Department of Justice (DOJ) filed a lawsuit against the Village of Woodmere, Ohio in the United States District Court for the Northern District of Ohio to enforce Title VII, 42 U.S.C. §2000e, et seq.[SENTMARKER]The D.O.J.[SENTMARKER]asked the court for injunctive and compensatory relief, alleging the defendant had violated Title VII by discriminating against two employees in the defendant's police department on the basis of their race (white) in termination of their employment.[SENTMARKER]The parties reached a settlement and the Court entered a three year consent decree on May 23, 2008.[SENTMARKER]The defendant agreed to implement new policies to deal with racial discrimination complaints and provide mandatory nondiscrimination training.[SENTMARKER]The individuals were to receive monetary awards, and one of them receive reinstatement.","The Equal Employment Opportunity Commission filed this suit in the U.S. District Court for the Northern District of Ohio against the Village of Woodmere, Ohio, alleging that the defendant violated Title VII of the Civil Rights Act of 1964 by discharging two former police officers on the basis of their race.[SENTMARKER]The complaint alleged that the defendants failed or refused to take appropriate action to remedy the effects of its discrimination against Amy Mengay, a former officer in the defendant's police department, by terminating her employment as a probationary police officer and failing or refusing to take action to rectify the effect of her discrimination against Timothy Ellis, another former officer.[SENTMARKER]The parties entered into a consent decree in 2007 to resolve the matter.[SENTMARKER]The decree required the defendants to: (a) report to the EEOC any complaint of discrimination or retaliation made by any individual pursuant to their written policies and procedures referenced in paragraph 4 of the decree; .[SENTMARKER](b) provide the name and contact information of the officer in question within 30 days of the date of the complaint; .[SENTMARKER](c) pay the plaintiff's attorney's fees; .[SENTMARKER](d) require the defendant to provide the EEOC with a copy of the policy and procedures that prohibit employment discrimination; and (e) create a non-discrimination policy.[SENTMARKER]The district court entered a final judgment in favor of the defendants in 2007 and the parties agreed to settle the matter without further order."
118,"On December 9, 2011, an openly gay former employee of Ohio Bell Telephone Company filed suit in U.S District Court for the Northern District of Ohio alleging that he had been dismissed in violation of the ADA, Title VII of the Civil Rights Act, and multiple sections of Ohio's Civil Rights Act. Plaintiff took his husband's last name after the couple was married in Massachusetts and had AIDS and alleged he was fired for those reasons.[SENTMARKER]The court denied Defendant's motion to dismiss and the case settled in September 2012.","In February 2012, a former Ohio Bell employee filed a complaint in the United States District Court for the Northern District of Ohio alleging discrimination in violation of the Americans with Disabilities Act (OCRA) and Title VII.[SENTMARKER]The complaint alleged that Ohio Bell discriminated against the employee because the employee was HIV positive and had entered into a same sex marriage.[SENTMARKER]Ohio Bell terminated the employee after the employee missed work for his father's funeral.[SENTMARKER]The court granted Ohio Bell's motion for summary judgment, finding that there was no evidence that the employee's termination was based on his gender, and that his termination was unrelated to his disability.[SENTMARKER]The case is now closed.[SENTMARKER]In a separate case, a former AT&T employee who was fired because of his same-sex marriage filed a similar complaint against Ohio Bell in the same district court.[SENTMARKER]The parties have agreed to settle the case."
119,"On January 18, 2001, the U.S. Department of Justice (""D.O.J."")[SENTMARKER]filed a lawsuit under Title VII of the Civil Rights Act of 1964 against the City of Sulphur in the U.S. District Court for the Eastern District of Oklahoma alleging that the City discriminated against a Mexican-American employee on the basis of his national origin, when it failed or refused to promote him and took no action to remedy the effects of discrimination.[SENTMARKER]The D.O.J.[SENTMARKER]sought injunctive and monetary relief.[SENTMARKER]On February 23, 2001, the Court entered a consent decree, containing injunctions on discrimination and retaliation, with orders to the defendant to implement a nondiscriminatory policy and antidiscrimination training.[SENTMARKER]The individual received $45,000.[SENTMARKER]The decree expired after five years.","The Equal Employment Opportunity Commission (EEOC) filed this suit in the U.S. District Court for the Eastern District of Oklahoma against the City of Sulphur, Oklahoma, under Title VII of the Civil Rights Act of 1964, as amended.[SENTMARKER]The complaint alleged that the defendant violated Title VII by failing or refusing to hire or promote an employee on the basis of his national origin, Mexican-American, when the employee was denied a promotion to the position of Sanitation Department Superintendent.[SENTMARKER]The defendant also allegedly failed or refused to take appropriate action to remedy the effects of the discriminatory treatment of the employee.[SENTMARKER]The parties entered into a consent decree, which was entered by Judge Frank H. Seay on February 26, 2003.[SENTMARKER]The decree required the defendant to comply with Title VII and to pay the employee in full and in part.[SENTMARKER]The decree also required the city to implement non-discriminatory employment policies and practices that treat all employees in the same way, regardless of national origin.[SENTMARKER]The consent decree was entered with the consent of the parties and is subject to final approval by the court."
120,"On November 3, 2003, African-American employees of Kraft Foods filed a lawsuit against their employer in the United States District Court for the Eastern District of Pennsylvania.[SENTMARKER]The plaintiffs alleged violations of Title VII of the Civil Rights Act of 1964, 42 U.S.C. 2000e, contending that Kraft had discriminated with regard to discipline and hiring.[SENTMARKER]<br /><br />The court approved a preliminary settlement agreement on May 1, 2007 in which Kraft agreed to pay $1.325 million and grant other forms of non-monetary relief.","In November 1999, a former employee of Kraft Foods filed this lawsuit in the United States District Court for the Eastern District of Pennsylvania on behalf of African-Americans employed at Kraft's Philadelphia Bakery.[SENTMARKER]She alleged that Kraft discriminated against African- Americans with respect to job discipline and classification.[SENTMARKER]She also alleged that she was subjected to racial discrimination in the assignment of entry-level positions.[SENTMARKER]The complaint alleged that, from November 1999 to December 2006, Kraft retaliated against African American employees who complained about their treatment by firing or disciplining them more frequently and more severely than Caucasian or White hourly employees.[SENTMARKER]As part of the settlement, the parties entered into a settlement agreement, which was approved by the court on December 31, 2006.[SENTMARKER]The court approved the settlement in March 2006, and the parties agreed to implement a program to monitor compliance with the terms and conditions of the agreement.[SENTMARKER]The parties also agreed to pay the plaintiffs in the amount of $75,000.[SENTMARKER]The settlement is subject to court approval."
121,"Four plaintiffs, on behalf of themselves and others similarly situated, filed a lawsuit against Latrobe Specialty Steel Company for violations of the Age Discrimination in Employment Act (ADEA).[SENTMARKER]All four plaintiffs were over the age of fifty and were terminated following the discovery of inappropriate emails on their work email accounts.[SENTMARKER]Despite the plaintiffs' claims that the emails were a pretext for age discrimination, the court held that there was no evidence that but for their ages, the plaintiffs would not have been terminated.[SENTMARKER]Thus, the court granted summary judgment in favor of the defendant, which was affirmed by the appellate court.[SENTMARKER]Taxation was assessed against the plaintiffs in the amount of $21,863.88.","In October 2007, a group of former Latrobe employees filed a class action lawsuit in the U.S. District Court for the Western District of Pennsylvania, alleging that the company discriminated against older employees by terminating them based largely, if not exclusively, on their age.[SENTMARKER]The plaintiffs alleged that their termination was based on the fact that they had repeatedly sent sexually oriented and pornographic emails through Latrobe's employee email system to other employees as well as outside third parties which violated the company's policies, practices and procedures.[SENTMARKER]The district court granted summary judgment in favor of Latrobe, concluding that the plaintiffs had failed to demonstrate that ""but for [sic] their ages,"" LSS would not have terminated their employment.[SENTMARKER]On appeal, the Third Circuit Court of Appeals affirmed the district court's summary judgment, finding that plaintiffs failed to show that their age was a factor in their termination.[SENTMARKER]The case is now closed."
122,"On April 30, 2010, the plaintiff, an African American job applicant with a felony criminal record, filed this class action lawsuit against the defendants, a company and its affiliates which specialized in training truck drivers and placing them with trucking companies.[SENTMARKER]The plaintiff alleged that the defendants refused to procure placement for applicants with a felony conviction, and because of this practice, disparately impacted African American and Latino applicants.[SENTMARKER]The parties settled on August 17, 2012.","On January 17, 2012, a former truck driver filed a class action lawsuit in the United States District Court in the Philadelphia District Court.[SENTMARKER]The plaintiff, who was African American and Latino, alleged that Driver Solutions' policy of rejecting applicants with criminal histories had a disparate impact on African Americans and Latinos in violation of Title VII of the Civil Rights Act of 1964.[SENTMARKER]The parties reached a settlement in January 2012 involving monetary relief of $475,000 and injunctive relief.[SENTMARKER]The settlement was entered into voluntarily between the parties and their attorneys without any findings of liability.[SENTMARKER]The parties have retained Kurtzman Carson Consultants LLC, an experienced class action claims administrator, to administer the settlement.[SENTMARKER]The court granted the parties' request for a further stay of litigation so that they could revive settlement negotiations in advance of private mediation."
123,"This sexual harassment case was brought by the Memphis office of the EEOC in 2006.[SENTMARKER]The case was resolved by Consent Decree in November 2007 which provided individual relief and also required anti-discrimination training, posting of policies and reports to the EEOC.","On November 5, 2004, the Equal Employment Opportunity Commission filed this suit in the U.S. District Court for the Western District of Tennessee against A&I Products, Inc. (A&I) on behalf of two female employees who were subjected to sexual harassment by a co-worker and retaliated against them after they filed a charge of discrimination with the EEOC.[SENTMARKER]The complaint alleged that the two women were subjecting each other to unwelcome sexual harassment because of their sex and that the harassment created a hostile work environment.[SENTMARKER]The court of appeals reversed the district court's grant of summary judgment on the EEOC's retaliation claim, and the parties entered into a consent decree.[SENTMARKER]The consent decree provided for two years of employment discrimination training for all employees at the Memphis, Tennessee facility, as well as a payment of $15,000 to one of the female employees.[SENTMARKER]The decree also required the defendant to pay the female employee for her legal fees and expenses.[SENTMARKER]The district court dismissed the case on December 7, 2007, and the case is now closed."
124,"The Memphis Office of the EEOC brought this suit against Paramount Staffing, Inc. in September 2006 in the United States District Court for the Western District of Tennessee (Memphis).[SENTMARKER]The complaint alleged discrimination and retaliation based on race (African American) and national origin (American).[SENTMARKER]The parties settled out of court on a two-year consent decree.","The Equal Employment Opportunity Commission (EEOC) filed this suit in the U.S. District Court for the Western District of Tennessee on March 22, 2004 against Paramount Staffing, Inc., a Memphis-based temporary staffing agency.[SENTMARKER]The complaint alleged that the agency violated Title VII of the Civil Rights Act of 1964 by failing to place African-American and Hispanic employees into temporary positions because of their race and national origin and by retaliating against one employee who complained about alleged discrimination.[SENTMARKER]The parties entered into a consent decree on August 19, 2010 to resolve the case.[SENTMARKER]As part of the consent decree, the parties agreed that Paramount would post its hiring and placement policies in English and Spanish and that it would not tolerate or condone race and retaliation discrimination in any form.[SENTMARKER]The consent decree also required Paramount to give a neutral reference to any potential employer of Earnestine Toler who may request a job reference.[SENTMARKER]In addition, Paramount agreed not to retaliate against any employee who participated in the EEOC’s investigation or who otherwise may complain about any discrimination in the workplace."
125,"In 2006, the Equal Employment Opportunity Commission (EEOC) brought this suit against Sharp Manufacturing Company in the U.S. District for the Western District of Tennessee.[SENTMARKER]The complaint alleged that Sharp violated the Americans with Disabilities Act by failing to provide the complainant with reasonable accommodation and discharged her because of her disability.[SENTMARKER]The EEOC sought injunctive and monetary relief as well as punitive damages against the defendant.[SENTMARKER]In 2009, the court approved the parties’ consent decree.[SENTMARKER]This decree had a duration of one year and instructed the defendant to: refrain from unlawful employment discrimination and retaliation; report to the EEOC on compliance with Title VII; revise its policies on reasonable accommodations; post notices of this agreement in their offices; pay $30,000.00 to the plaintiff.[SENTMARKER]The case is closed.","September 2004 DATE | Sharp Manufacturing Company of America ORG | U.S. District Court for the Western District of Tennessee DATE | Western Division DATE | January 2009 DATE ||| Sharp Electronics Corporation DATE | ||| American Disabilities Act of 1990 DATE | Title I of the Civil Rights Act of 1991 DATE | EEOC DATE | Dispute of this case brought by the EEOC on September 2004 against Sharp Manufacturing Co. of America.[SENTMARKER]The EEOC alleged that Sharp Manufacturing failed to provide an employee with a reasonable accommodation and discharged her because of her disability, osteoarthritis.[SENTMARKER]The parties entered into a consent decree on January 2009 to resolve the case.[SENTMARKER]The decree required Sharp Manufacturing to post a notice at its Memphis, Tennessee facility for six months, post a copy of the consent decree to all current employees, distribute a copy to all new employees upon the employee's hire, and provide reasonable accommodations to the employee.[SENTMARKER]The consent decree was entered by Judge S. Thomas Anderson on January 2009.[SENTMARKER]The parties filed a motion for summary judgment on October 31, 2009.[SENTMARKER]The court granted the motion, and the parties entered a final judgment on January 23, 2009."
126,"On January 22, 2004 a group of Fairfield Resorts employees filed this class action lawsuit against Cendant Corporation, Fairfield Resorts, and 15 individuals working at Fairfield Resorts in the U.S. District Court for the Middle District of Tennessee, Nashville Division.[SENTMARKER]The plaintiffs were filing suit over alleged sexual harassment, gender discrimination, and retaliation they experienced on the job.[SENTMARKER]On October 28, 2005, Judge William J. Haynes approved a consent decree granting monetary relief to plaintiffs and other female employees.","[ENTITYCHAIN] December 22, 2004 DATE | Middle District of Tennessee ORG | Cendant Corp.<n>On December 22, 2004, a group of former and current female employees of Fairfield Resorts, Inc. filed a lawsuit in the United States District Court for the Middle District Of Tennessee, Nashville Division, alleging sexual harassment, gender discrimination, and retaliation in violation of Title VII of the Civil Rights Act of 1964 and the Tennessee Human Rights Act.[SENTMARKER]The plaintiffs alleged that they were subjected to sexual harassment and gender discrimination in the workplace, and that the defendants retaliated against them by demoting them to positions in which their monthly income was significantly reduced, by denying them promotions for which they were qualified, and by subjecting them to other adverse terms and conditions of employment.[SENTMARKER]As part of the settlement, the defendants agreed to pay the plaintiffs a total of $50,000.[SENTMARKER]The parties entered into a consent decree, which was approved by the court on December 22, 2004.[SENTMARKER]The consent decree required the defendants to: (i) modify their complaint processing system so that any complaints of harassment, discrimination or retaliation can be made; .[SENTMARKER](ii) publicize in each of their work locations the specific identity of the individual(s) to whom any complaints are made; and (iii) make corrective action available to the complaining party once corrective action has been taken.[SENTMARKER]In the event that the parties do not mutually agree to mediate the dispute, then either party may apply to the Court for appropriate relief to enforce the provisions of this consent decree.[SENTMARKER]The terms of the consent decree were not to exceed $50,000.[SENTMARKER]In addition, the parties agreed not to retaliate against each other."
127,"On September 28, 2006, The Dallas District Office of the EEOC filed this lawsuit in the U.S. District Court for the Northern District of Texas.[SENTMARKER]The plaintiff sued Beall Concrete Enterprises, Inc., a wholly-owned subsidiary of U.S. Concrete, Inc. under the Americans with Disabilities Act of 1990 and the Age Discrimination in Employment Act. On April 3, 2008, Judge Reed O'Connor approved a consent decree over the remaining claim that the defendant had violated the Age Discrimination in Employment Act.[SENTMARKER]The consent decree required the defendant to pay the complainant $50,000 in backpay, conduct ADEA training for its employees for two years, and post a notice about federal anti-discrimination employment laws.","The Equal Employment Opportunity Commission (EEOC) filed this suit in the U.S. District Court for the Northern District of Texas against Beall Concrete Enterprises, Inc., a Dallas-based concrete company, alleging that the defendant violated the Americans with Disabilities Act of 1990 (ADA) and Age Discrimination in Employment Act of 1967 (ADEA) by failing to provide reasonable accommodation and then terminating their employment due to a record of a disability.[SENTMARKER]The parties entered into a consent decree in which the parties agreed not to appeal the summary judgment ruling on the ADA claims until the expiration of the term of the consent decree.[SENTMARKER]The consent decree was signed on April 17, 2007 and was entered into by the Court of Appeals for the Fifth Circuit on April 18, 2007.[SENTMARKER]The parties agreed to pay $50,000 in backpay to the EEOC for the claim asserted by the EEOC on behalf of Charles Gentry.[SENTMARKER]The case is now closed and the parties have agreed to dismiss the case without prejudice."
128,"On November 9, 1999, the Equal Employment Opportunity Commission (""EEOC""), on behalf of a female employee, filed a lawsuit in the Northern District Court of Texas, under Title VII of the Civil Rights Act of 1964, as amended, and Title I of the Civil Rights Act of 1991, as amended, against Parfumes De Couer Limited, Inc.[SENTMARKER]The EEOC sought reinstatement of the applicant, injunctive relief, compensatory damages, punitive damages, attorneys' fees, and other forms of affirmative relief claiming that the defendant fired the complainant based on her sex because she was pregnant.[SENTMARKER]On March 23, 2001, the District Court entered a consent decree where the defendant, among other things, agreed to pay the complainant $5,000.","The Equal Employment Opportunity Commission filed this suit in the U.S. District Court for the Northern District of Texas on March 26, 2001 against Parfumes De Couer, Ltd., Inc., a Texas-based fragrance company, alleging that it violated Title VII of the Civil Rights Act of 1964 by discharging a female employee based on her sex, female, and because of her pregnancy.[SENTMARKER]The parties entered into a consent decree in which Parfumes de Couer agreed to implement policies, practices, and programs that provide equal employment opportunities for all of its female employees, and eradicate the effects of the Defendant's past and present unlawful practices.[SENTMARKER]The consent decree was entered by Judge Sidney A. Fitzwater in March 2001 and is subject to final approval by the court at a later date.[SENTMARKER]The terms of the consent decree are subject to court approval."
129,"On September 19, 2002, the Equal Employment Opportunity Commission (""EEOC""), on behalf of a black employee, filed a lawsuit in the Western District Court of Texas against Union Pacific Railroad Company.[SENTMARKER]On January 21, 2004, the District Court (Judge David Briones) entered a consent decree where the defendant, among other things, agreed to pay the plaintiff-intervenor $84,000.","On September 19, 2002, the Equal Employment Opportunity Commission (EOC) filed this suit in the U.S. District Court for the Western District of Texas against Union Pacific Railroad Company (Union Pacific) alleging that the defendant violated Title VII of the Civil Rights Act of 1964 by discharging an African-American employee because of his race.[SENTMARKER]The complaint alleged that, in April 1998, Union Pacific began to perform criminal background checks on all employees whose background investigation revealed them to have a felony conviction in the seven year period preceding their application for employment and who did not disclose that information in their application.[SENTMARKER]In accordance with a two-year consent decree, the defendant is required to pay $84,000 to the charging party, who had been reinstated to his job (without back pay) through defendant's internal complaint process approximately 20 months after his discharge.[SENTMARKER]The defendant is also enjoined from retaliating in any manner whatsoever against any employee employed by the Railroad in the El Paso, Texas Transportation Department for opposing any employment practice made unlawful by Title VII.[SENTMARKER]In addition, on an annual basis, defendant must mail or e-mail copies of its policies to its management and supervisory employees and provide training to its managers and supervisors that explains the damaging effects of race discrimination and retaliation.[SENTMARKER]The parties entered into a settlement agreement in which the defendant agreed to pay a total of $84,000 in disgorgement, prejudgment interest, and attorney's fees.[SENTMARKER]The settlement agreement is subject to final approval by the court."
130,"This class action suit was filed on January 12, 2006, under 38 U.S.C. § 4301, et seq. (""USERRA"") in the U.S. District Court for the Northern District of Texas.[SENTMARKER]The plaintiff class consisted of all past and present pilots of American Airlines who are or were members of the United States Armed Services and who took military leave from January 2001 to 2006.[SENTMARKER]They asked the court for injunctive and declaratory relief, alleging that American Airlines had violated USERRA by discriminating against pilots who took military leaves of absence.[SENTMARKER]They claimed that they were unfairly charged fewer ""in service"" days which prevented them from bidding on a number of benefits including flight schedules, paid vacation time, and earned sick leave.[SENTMARKER]Pilots who had taken comparable types of non-military leave were not similarly penalized.[SENTMARKER]After filing two amended complaints, and the court denying the defendants' second motion to dismiss, the plaintiffs motion to certify class, preliminarily approve settlement agreement, and approve forms of class notice.[SENTMARKER]This motion was granted by U.S. District Court Judge Barbara M.G.[SENTMARKER]Lynn in a final order on August 1, 2008.","On July 28, 2008, three former American Airlines pilots filed a class action lawsuit in the U.N.[SENTMARKER]district court for the Northern District Of Texas against American Airlines, Inc. and the Allied pilots Association.[SENTMARKER]The plaintiffs alleged that American had violated the employment rights of its pilots by denying them the ability to bid on flight schedules based on their seniority status and to earn other employment benefits, including paid vacation time and earned sick leave.[SENTMARKER]The court granted the plaintiffs' motion for summary judgment and granted their motion for partial summary judgment.[SENTMARKER]The parties agreed to a final judgment in favor of the plaintiffs.[SENTMARKER]The final judgment is subject to further court approval."
131,"On August 22, 2003, the Equal Employment Opportunity Commission (""EEOC""), on behalf of a female employee, filed a lawsuit in the Eastern District Court of Washington, under Title VII of the Civil Rights Act of 1964, as amended by Title I of the Civil Rights Act of 1991, against Huntwood Industries, Inc.[SENTMARKER]The EEOC sought injunctive relief, compensatory damages, punitive damages, attorneys' fees, and other forms of affirmative relief claiming that the defendant subjected the plaintiff-intervenor to a sexually hostile work environment because of her sex, female, resulting in her constructive discharge.[SENTMARKER]On July 21, 2004, the District Court (Judge Frederick Van Sickle) entered a consent decree where the defendant, among other things, agreed to pay the complainant $100,000.","On August 20, 2003, the Equal Employment Opportunity Commission (EOC) filed this suit in the U.S. District Court for the Eastern District of Washington against T R A Industries, Inc., a Spokane-based manufacturer of custom cabinets.[SENTMARKER]The complaint alleged that the defendant violated Title VII of the Civil Rights Act of 1964 by subjecting a female employee to a sexually hostile work environment because of her sex, resulting in her constructive discharge.[SENTMARKER]The parties entered into a consent decree in which the defendant agreed to implement a series of corrective and preventive measures to further the objectives of Title VII.[SENTMARKER]The consent decree required the defendant to develop and present to all employees a manual specifically addressing employment discrimination and sexual harassment, to provide equal employment opportunities for all 25 employees, and to implement anti-discrimination and anti-sexual harassment policies, procedures, and training for employees, supervisors, and management personnel to the extent not already established.[SENTMARKER]As part of the consent decree, the defendant also agreed to pay $100,000 to the plaintiff.[SENTMARKER]The court entered a final judgment in favor of the defendant on July 21, 2006, and the parties agreed to settle the case on December 31, 2006.[SENTMARKER]The court granted the defendant's motion for summary judgment, and the case was closed."
132,"In March 2002, the Seattle District Office of the Equal Employment Opportunity Commission sued Laidlaw Inc., a school bus company, in the U.S. District Court for the Western District of Washington for alleged violations of Title VII of the Civil Rights Act of 1964.[SENTMARKER]The complainant intervened in May 2002, alleging that the defendant violated the Washington Law Against Discrimination and state tort law by discriminating against her on the basis of sex.[SENTMARKER]The defendant moved for summary judgment, which was granted in part and denied in part.[SENTMARKER]The case went to trial in June 2003.[SENTMARKER]The court ruled in favor of the plaintiffs on their federal and state law claims and in favor of the defendant with regard to punitive and injunctive relief.[SENTMARKER]The court awarded $3,029.78 in economic damages and $30,000 in non-economic damages.[SENTMARKER]The parties appealed in September 2004, but the appeals were dismissed in October 2004.","The Equal Employment Opportunity Commission filed this suit in the U.S. District Court for the Western District of Washington in May 2002 against Laidlaw Transit, Inc., a wholly owned subsidiary of Laidlaw Education Services Corp., alleging that Laidlaw violated Title VII of the Civil Rights Act of 1964 and the Washington Law of 1991 by subjecting female employees to disparate treatment on the basis of their sex.[SENTMARKER]The parties stipulated to the dismissal of these appeals with prejudice, and the case was dismissed with prejudice.[SENTMARKER]On April 1, 2004, the jury awarded plaintiff $3,029.78 in economic damages and $30,000 in non-economic damages with costs and attorneys' fees.[SENTMARKER]The case is now closed."
