,gold_sents,pegasus_output_sents
74,"Female financial advisers employed by Morgan Stanley sued under Title VII and the Federal Age Discrimination in Employment Act, alleging that Morgan Stanley had a systemic pattern and practice of discriminating against female employees in compensation, promotions, and other areas.[SENTMARKER]The parties settled, with Morgan Stanley paying $46m in damages, fees, and costs of administration, and agreeing to injunctive relief.[SENTMARKER]This case was later consolidated with Amochaev v. Citigroup Global Markets Inc.","On June 22, 2006, the Equal Employment Opportunity Commission (""EEOC"") filed this class action lawsuit in the U.S. District Court for the District of Columbia against Morgan Stanley Co., Inc. (""MS-GWMG""), formerly known as Morgan Stanley DW Inc., alleging discrimination in violation of federal and applicable state civil rights laws.[SENTMARKER]The Named Plaintiffs alleged that MS-GW MG discriminated against them and a class of similarly situated persons on the basis of their sex in several aspects of their employment.[SENTMARKER]The parties engaged the services of Hunter Hughes, Esq., a highly experienced professional mediator, skilled in mediation of complex class actions, including employment discrimination litigation.[SENTMARKER]On April 23, 2007, the parties entered into a settlement agreement.[SENTMARKER]The terms of the settlement agreement were as follows: The parties jointly appointed a diversity monitor (""Diversity Monitor"") to monitor MSSB's efforts to carry out its non-Discrimination and anti-Harassment Policy, including its prohibition against retaliation, to all employees upon hire (in hard copy or by electronic mail) and then on an annual basis via email from the CEO of Morgan Stanley.[SENTMARKER]MSSB shall provide all management-level field sales personnel with diversity training no less than every other year.[SENTMARKER]The complaint reporting process and the Diversity Monitor's role in the review of individual complaints will expire on September 30, 2015.[SENTMARKER]The term for the programmatic provisions of the Settlement is five years.[SENTMARKER]On July 17, 2007, the District Court granted the parties' Joint Motion for Approval of the Class Action Settlement Agreement.[SENTMARKER]On October 26, 2007, the United States District Court of Columbia granted final approval of the Morgan Stanley Settlement Agreement and dismissed this Action."
75,"This case was brought by several African-American current or former U.S. Capitol Police Officers against the United States Capitol Police Board.[SENTMARKER]Plaintiffs sought compensatory damages and injunctive relief, alleging that Defendant engaged in a pattern and practice of race discrimination in employment.[SENTMARKER]On October 13, 2016, the court granted defendant's motion to dismiss most of plaintiffs' claims.[SENTMARKER]The plaintiffs filed a motion to reconsider which the court denied, and the court reaffirmed its reasoning on July 30, 2019.[SENTMARKER]The case is ongoing.","On May 10, 2010, a group of African American employees of the U.S. Capitol Police Board filed a class action lawsuit under the Congressional Accountability Act (CAA) in the District of Columbia District Court.[SENTMARKER]The plaintiffs alleged that the Police Board discriminated against African American officers by subjecting them to a hostile work environment based on their known associations with African-American officers.[SENTMARKER]The District Court dismissed the case for lack of subject matter jurisdiction pursuant to Federal Rule of Civil Procedure 12(b)(1).[SENTMARKER]On September 30, 2004, the Court of Appeals for the D.C. Circuit granted the defendants' motion to dismiss for failure to exhaust administrative remedies as required under the CAA, and the case was dismissed without prejudice.[SENTMARKER]On July 31, 2009, the Court remanded the case to the District Court for further proceedings.[SENTMARKER]The parties agreed to a schedule for resolution of the jurisdictional issues on remand.[SENTMARKER]The case is now closed."
76,"The EEOC filed this Age Discrimination in Employment Act case against I.G.[SENTMARKER]Burton of Seaford alleging that the defendant had fired an employee due to his age.[SENTMARKER]The parties entered into a three-year consent decree.[SENTMARKER]Under the decree, the defendant agreed to pay $70,000 in damages to three former employees and provide training and take other steps to prevent further violations.","On August 2, 2006, the Equal Employment Opportunity Commission (EEOC) filed this lawsuit in the U.S. District Court for the District of Delaware against I.G.[SENTMARKER]Burton Company, Inc., a subsidiary of LG.[SENTMARKER]The EEOC alleged that LG.[SENTMARKER]Burton subjected certain individuals to disparate treatment on the basis of their ages, seventy-five (75) and above, by discharging them from employment based on their age.[SENTMARKER]The parties entered into a Consent Decree, which was final and binding.[SENTMARKER]The consent decree provided for monetary relief in the amount of $222,,000.00, less all lawful deductions to John Collison.[SENTMARKER]The decree also provided for training on the requirements of the Age Discrimination in Employment Act of 1967, as amended, 29 U.N.C.[SENTMARKER]621-24 (the ""ADEA""), and required the defendant to provide the EEOC with any and all copies of pamphlets, brochures, outlines or other M'itlen matials provided to the participants of the training sessions upon request.[SENTMARKER]The complaint alleged that the defendant violated the ADEA by terminating the complainants based on age, and that the complaint was filed prior to the date of the defendant's receipt of the consent decree.[SENTMARKER]The complainants alleged that they were terminated from their positions as ""Runners"" because they were older than 75 years old.[SENTMARKER]The defendant also allegedly terminated them from their position as runners based on the fact that they did not speak English.[SENTMARKER]The case was closed on October 2, 2007."
77,"In 2006, the Equal Employment Opportunity Commission (EEOC) and the complainant, who intervened to become a plaintiff, brought this suit against Autozone, Inc. in the U.S. District Court for the Middle District of Florida.[SENTMARKER]The complaint alleged sex discrimination in violation of Title VII.[SENTMARKER]The case ended in a consent decree.","On January 12, 2006, the EEOC filed this suit in the U.S. District Court for the Middle District of Florida against Discount Auto Parts, Inc., a Florida corporation.[SENTMARKER]The EEOC alleged that the defendant violated Title VII of the Civil Rights Act of 1964 by subjecting its female employees to sexual harassment in violation of Title VII.[SENTMARKER]The complaint alleged that Defendant terminated the female employees in retaliation for the EEOC's complaints.[SENTMARKER]The parties entered into a settlement agreement in which the defendant agreed to pay $150,000 to the EEOC and to provide the EEOC with a copy of its policies, procedures, and training manuals relating to sexual discrimination and/or retaliation.[SENTMARKER]In addition, the parties agreed that the EEOC would be required to pay the plaintiffs' attorney's fees and costs.[SENTMARKER]The case is now closed."
78,"On June 30, 2004, the Equal Employment Opportunity Commission (EEOC) filed this Title VII sex discrimination and retaliation suit in the Fort Lauderdale U.S. District Court for the Southern District of Florida against DTG Operations, Inc., (doing business as Dollar Rent A Car) on behalf of a female employee.[SENTMARKER]The employee intevened in the case.[SENTMARKER]The parties entered a consent decree that provided for monetary relief ($395,000) and injunctive relief, such as antidiscrimination, antiretaliation, training, and notice-posting provisions.[SENTMARKER]The case is now closed.","On June 30, 2004, the Miami District Office of the EEOC filed this suit in the U.S. District Court for the Southern District of Florida against DTG Operations, Inc. d/b/a Dollar Rent a Car, a nationwide rental car company, under Title VII of the Civil Rights Act of 1964.[SENTMARKER]The complaint alleged that the defendant subjected a female employee to a sexually hostile work environment and retaliated against her for opposing sexual harassment by discharging her from her position.[SENTMARKER]The parties entered into a consent decree on October 7, 2005.[SENTMARKER]The decree required the defendant to: provide a complete copy of its policy against sexual harassment and retaliation within thirty days of the entry of this Decree; provide the EEOC with the name, home address, and home phone number of any person who alleges that he/she has been subjected to sex harassment while working at any of Defendant's Ft. Lauderdale facilities during the preceding six months; certify to the EEOC every six months that it is in compliance with all aspects of this decree; and conduct a four-hour annual training for all of its managers, supervisory personnel, and lead agents, at its Fort Lauderdale facilities, with specific emphasis on sex harassment discrimination and the proper procedure to be followed if they become aware of sexual harassment in the workplace and/or if they receive a complaint of such discrimination.[SENTMARKER]In addition, the defendant agreed to pay a total of $395,000 in monetary relief to the charging party, who was the victim of a physical battery at the hands of the defendant's employee, Carlos Tobar."
79,"On January 2013, the EEOC filed this lawsuit in the U.S. District Court for the Southern District of Florida against Bay State Milling Company, alleging violations of the Age Discrimination in Employment Act (ADEA) and the Fair Labor Standards Act (FLSA). .[SENTMARKER]The EEOC sought injunctive and monetary relief as well reinstatement of the affected individual.[SENTMARKER]The parties agreed upon a settlement agreement on November 12, 2013.","The Miami District Office of the EEOC brought this suit against Bay State Milling Company in the U.S. District Court for the Southern District of Florida.[SENTMARKER]The complaint alleged that the defendant violated the Age Discrimination in Employment Act (ADEA) by failing to hire a qualified applicant for a vacant Miller position because of his age.[SENTMARKER]The parties attempted to reach a pre-litigation settlement through conciliation.[SENTMARKER]On November 5, 2013, the parties filed a joint motion for approval of a consent decree.[SENTMARKER]The consent decree provided that Bay State would pay the applicant $80,185.66, in two payments of $40,092.83, to settle the EEOC's lawsuit.[SENTMARKER]The decree also included mandatory training for the hiring manager, interviewing officials and the company's human resources department, with an emphasis on age-related discriminatory practices and age sensitivity.[SENTMARKER]The monetary award included back pay and liquidated damages."
80,"On May 8, 2013, the EEOC filed suit in U.S. District Court for the Southern District of Florida under 42 U.S.C. § 1981 and 42 U.S.C. § 2000 against Dynamic Medical Services, Inc., on behalf of several sales employees.[SENTMARKER]Plaintiffs alleged that they were coerced into adopting Scientology religious views and practices.[SENTMARKER]In December of 2013, the case was settled for $170,000 and a series of anti-discrimination measures on the part of Dynamic.","On November 29, 2011, the Miami District Office of the EEOC filed this suit in the U.S. District Court for the Southern District of Florida against Dynamic Medical Services, Inc., a Florida corporation that provides medical and chiropractic services.[SENTMARKER]The complaint alleged that Dynamic forced its employees to participate in Scientology religious practices in violation of Title VII of the Civil Rights Act of 1964.[SENTMARKER]According to the complaint, Dynamic fired two employees in retaliation for opposing the company's unlawful practices.[SENTMARKER]The defendants agreed to pay $170,000 to settle the case.[SENTMARKER]The settlement was approved by the court on December 23, 2013."
81,"In September 2002, the Chicago District Office of the EEOC filed this lawsuit against HQ Global Workplaces, Inc. in the U.S. District Court for the Northern District of Illinois alleging discrimination on the basis of disability and retaliation in violation of the Americans with Disabilities Act of 1990.[SENTMARKER]Specifically, the EEOC alleged that the defendant maintained policies on leave and part-time status availability precluding reasonable accommodation in violation of the ADA, terminated complainant based on her disability, and disciplined complainant's manager for providing complainant with a reasonable accommodation.[SENTMARKER]Following some discovery, the parties jointly dismissed the lawsuit in May 2003.","On August 23, 1999, the Chicago District Office of the EEOC brought this suit against HQ Global Workplaces, Inc. in the U.S. District Court for the Northern District of Illinois.[SENTMARKER]The complaint alleged that the defendant violated Title I and Title V of the Americans with Disabilities Act (ADA) by failing to provide a reasonable accommodation to a disabled employee, terminating the employee on the basis of her disability, and reprimanding the employee for complying with the requirements of the ADA.[SENTMARKER]The case was dismissed with prejudice and without costs by agreement on May 15, 2003.[SENTMARKER]The case is now closed."
82,"The EEOC filed suit against Sears Roebuck and Company, alleging that Sears violated the Americans with Disabilities Act by enacting an inflexible workers compensation policy, and failing to provide reasonable accommodations to employees seeking to return to work after injury.[SENTMARKER]The court approved a consent decree, which required payment to individual claimants, revision of policies, recordkeeping, reporting, and training.[SENTMARKER]The matter appears to be closed.","On November 10, 2004, the Chicago office of the Equal Employment Opportunity Commission (EEOC) filed this lawsuit in the U.S. District Court for the Northern District of Illinois against Sears, Roebuck and Company.[SENTMARKER]The complaint alleged that Sears violated the Americans with Disabilities Act (ADA) by failing to accommodate a class of employees with disabilities by terminating them at the end of a period of leave rather than accommodating them.[SENTMARKER]According to the complaint, one of the employees, John Bava, was terminated because Sears' inflexible one year leave policy did not provide for reasonable accommodation and which instead provided for termination of employment, all in violation of the ADA.[SENTMARKER]The court granted the EEOC's motion to dismiss the case on September 29, 2005.[SENTMARKER]The parties entered into a consent decree in which Sears agreed to pay the EEOC $75,000 in damages and to provide reasonable accommodation to all of its Chicago-area employees who lost their jobs because of Sears' one-year worker's compensation or medical-disability leave policy.[SENTMARKER]The consent decree also required Sears to provide the EEOC with a copy of its policies and procedures regarding disability and medical leave.[SENTMARKER]The parties also agreed not to discriminate on the basis of race, color, religion, sex, pregnancy, or national origin in the future.[SENTMARKER]The case is now closed."
83,"On February 8, 2006, the U.S. Department of Justice filed a lawsuit against the Board of Trustees for Southern Illinois University under Title VII in the Southern District of Illinois.[SENTMARKER]The Department of Justice asked the court for injunctive relief, alleging that the defendant discriminated against non-specified minorities on the basis of race and white males on the basis of race and gender.[SENTMARKER]The day after, the parties entered into a consent decree with injunctive reliefs and the case was dismissed on December 2, 2008.","On February 9, 2006, the U.S. Attorney's Office for the Southern District of Illinois filed this lawsuit against the Board of Trustees of Southern Illinois University (""SIU Board""), alleging that the Board violated Title VII of the Civil Rights Act of 1964 (""Title VII"").[SENTMARKER]The complaint alleged that the SIU Board maintained and continued to maintain paid fellowship programs open only to students who are either of a specified race and/or national origin or who are female.[SENTMARKER]The parties entered into a consent decree on February 9, 2006.[SENTMARKER]The decree, which was entered by Judge J. Phil Gilbert, required the Board to establish and maintain policies and practices that are the same or similar to those alleged in the complaint.[SENTMARKER]The decree also required the University to provide live mandatory training to all academic recruiters and employees engaged in recruiting activities on behalf of the University for paid fellowships regarding Title VII's prohibitions against discrimination.[SENTMARKER]In addition, the University was required to post a copy of the consent decree in a prominent public place in the main office for recruitment of each College and School at SIU.[SENTMARKER]The consent decree is subject to final approval by the Court."
84,"In 2001, four former employees of Mid-West Wire Specialties, Inc. filed this class action complaint in the U.S. District Court for the Northern District of Illinois.[SENTMARKER]The plaintiffs alleged that the defendant discriminated against them on the basis of their sex, female, in violation of Title VII, in that they were sexually harassed by other employees of the defendant and faced retaliation for resisting the sexual advances.[SENTMARKER]In 2002, the parties reached a settlement that awarded monetary damages and backpay for for class members.[SENTMARKER]The case closed in August 2002.","In August 2001, two female employees of Mid-West Wire Specialties, Inc. filed this lawsuit in the U.S. District Court for the Northern District of Illinois.[SENTMARKER]The plaintiffs alleged that they were subjected to a hostile work environment, quid pro quo sexual harassment, and retaliation in violation of Title VII of the Civil Rights Act of 1964.[SENTMARKER]The parties entered into a settlement agreement in which the defendant agreed to pay approximately $500 (five hundred dollars) to each of approximately 47 female temporary workers who rendered services at MWWS for at least 20 continuous work days during the period from January 1, 1998 to December 3, 2002.[SENTMARKER]The parties also agreed to implement a new anti-harassment policy with respect to its employees, officers, and supervisors with regard to sexual harassment of female employees.[SENTMARKER]The settlement agreement was preliminarily approved by the court in August 2001 and the parties filed a motion for summary judgment in February 2002.[SENTMARKER]The court granted the motion and entered a final judgment in favor of the plaintiffs in August 2002.[SENTMARKER]The case is now closed."
85,"On July 12th, 2000 eight female employees filed suit in the United States District Court in the Northern District of Illinois against DaimlerChrysler Corp.  They alleged DaimlerChrysler engaged in age discrimination, gender discrimination, race discrimination, and violations of the American with Disabilities Act (ADA).[SENTMARKER]As discovery progressed various plaintiffs were added and some were dismissed from the case.[SENTMARKER]Settlement negations concerning the remaining plaintiffs resulted in individual settlement agreements.[SENTMARKER]The exact terms of these settlements are not available.[SENTMARKER]The case was completely dismissed on October 29th, 2002.","On November 21, 1991, a group of African-American and female employees of DaimlerChrysler filed a complaint in the U.S. District Court for the Northern District of Illinois under the Americans with Disabilities Act (ADA), the Age Discrimination in Employment Act (ADEA), and Title VII of the Civil Rights Act of 1964.[SENTMARKER]The plaintiffs alleged that DaimlerChrysler violated the ADA by creating and condoned a work environment that is hostile to women and African-Americans with regard to promotion, training, and skills qualification.[SENTMARKER]The plaintiffs also alleged that the defendant discriminated against them by denying them the same rights as enjoyed by white employees as regards the making, performance, modification and termination of their employment relationship with DaimlerChrysler and to the enjoyment of all benefits, privileges, terms and conditions of that relationship.[SENTMARKER]On July 12, 2000, the plaintiffs filed a charge of discrimination in violation of the ADA against DaimlerChrysler Corporation and the International Union of the United Auto Workers Local Union.[SENTMARKER]On November 30, 2000, the defendants filed a motion to dismiss the complaint pursuant to Fed.R.Civ.P.[SENTMARKER]United States District Court  4.03 (Rockford) V.[SENTMARKER]Defendant DaimlerChrysler Corporation FINAL REPLY memorandum by defendant Daimler Chrysler in support of its motion to dismissal [31] (FCe) (Entered: 03/01/2001).[SENTMARKER]On July 26, 2001, the District Court granted the defendants' motion for summary judgment, and the case was closed.[SENTMARKER]The case is now closed."
86,"Financial advisors who sued their employer, Merrill Lynch & Co., Inc., for race and gender discrimination in compensation did not state a plausible claim, so their complaint was dismissed pursuant to Title VII Section 703(h), which allows employers to compensate employees differently on the basis of seniority, merit, or quality or quantity of production.[SENTMARKER]The differences in compensation are only unlawful when they result from an intention to discriminate because of race, color, religion, sex or national origin.","In 2005, a group of black brokers at Merrill Lynch filed a class action lawsuit in the U.S. District Court for the Northern District of Illinois under Title VII of the Civil Rights Act of 1964 against Merrill Lynch, Pierce, Fenner Smith Incorporated and Bank of America Corporation.[SENTMARKER]The plaintiffs alleged racial discrimination in hiring, compensation, account distribution, and “teaming” (the grouping of brokers that handle particular accounts) and seeking to litigate the claims as a class.[SENTMARKER]The district court denied the plaintiffs’ initial motion for class certification in August 2010 and dismissed the entire case with prejudice.[SENTMARKER]In July 2012, the plaintiffs appealed to the United States Supreme Court.[SENTMARKER]The Supreme Court ruled in favor of the plaintiffs, and the district court granted the plaintiffs' motion to amend the complaint.[SENTMARKER]The case is ongoing."
87,"In December 2013, the EEOC brought this suit against Bright Petroleum for scrutinizing, disciplining and discharging against its female employee who filed a charge of sex discrimination with the EEOC.[SENTMARKER]The EEOC and Bright Petroleum entered a three-year consent decree on December 12, 2014.","On December 23, 2013, the Indianapolis District Office of the EEOC filed this lawsuit in the U.S. District Court for the Southern District of Indiana against The Bright Market, Inc. and its owners, June and Jay Tucker.[SENTMARKER]The EEOC alleged that the defendants violated Title VII of the Civil Rights Act of 1964 by subjecting a female employee to scrutiny, discipline, and termination because she filed a charge of discrimination with the Commission.[SENTMARKER]The parties reached a pre-litigation settlement on December 19, 2014.[SENTMARKER]The parties entered into a consent decree, which was approved by Judge Sarah Evans Barker.[SENTMARKER]The decree requires the defendants to pay $15,000 in back wages plus interest and compensatory and punitive damages to the employee.[SENTMARKER]The defendants also agreed not to retaliate against any employee or former employee who files a complaint with the EEOC.[SENTMARKER]The consent decree is subject to court approval."
88,"On December 19, 2005 a group of former employees of the Boeing Company filed suit in the United States District Court of Kansas against the Boeing Company (Boeing), Spirit Aerosystems Inc. (Spirit), the Onex Corporation (Onex) and Midwestern Aircraft (Midwestern).[SENTMARKER]The plaintiffs sought declaratory, injunctive and monetary relief as well as class certification, alleging pattern or practice of age discrimination, disparate impact and disparate treatment by the defendants during the layoff and rehire process, in connection with Boeing's sale of its commercial airplane manufacturing facilities to Onex.[SENTMARKER]The plaintiffs brought eight claims, two of which were dismissed during the pleading stage, five were dismissed as the District Court granted summary judgment in the defendants' favor in two separate opinions.[SENTMARKER]The plaintiffs appealed to the 10th Circuit Court, but the 10th Circuit affirmed the lower court's decisions.[SENTMARKER]The remaining claim in the case after the Circuit Court decision was the plaintiffs' ADEA claim of disparate treatment.[SENTMARKER]A number of individual plaintiffs settled with defendants.[SENTMARKER]After the plaintiffs failed to appear at a hearing on a motion to dismiss, Judge Melgran granted the motion.[SENTMARKER]The plaintiffs appealed on February 9, 2015, and the appeal was dismissed on June 16, 2015 for failure to prosecute.[SENTMARKER]The case is closed.","On June 24, 2008, former employees of The Boeing Company (Boeing) filed this class action lawsuit in the U.S. District Court for the District of Kansas against The Onex Corporation (Onex) and its parent company, Professional Risk Management, Inc. (PRM/MMI), alleging that the defendants violated the Age Discrimination in Employment Act (ADEA) and the Employment Retirement Income Security Act (ERISA) by terminating and failing to rehire employees over the age of forty when they sold their commercial airplane manufacturing facilities in Wichita, Kansas and Tulsa, Oklahoma.[SENTMARKER]The plaintiffs alleged that the defendant violated the ADEA by requiring them to sign a Consent to Release 5 Personnel Information form and by failing to comply with the collective bargaining agreement.[SENTMARKER]The court granted the plaintiffs' motion for summary judgment, and the parties entered into a settlement agreement.[SENTMARKER]On November 11, 2008, the court entered a final judgment in favor of the plaintiffs, requiring the defendants to pay the plaintiffs in the amount of $550,000.[SENTMARKER]The parties also agreed to a post-judgment interest rate of 10%.[SENTMARKER]The case is closed."
89,"In February 2001, the EEOC brought this Title VII sex discrimination action against the Jonesboro Manufacturing Company on behalf of an employee who claimed that a male coworker repeatedly made inappropriate sexual comments to her, and after she complained nothing was done.[SENTMARKER]The defense immediately filed a motion to dismiss for failure to timely serve the summons and complaint.[SENTMARKER]While this motion was pending, the EEOC voluntarily dismissed the case.","On March 20, 1996, the Equal Employment Opportunity Commission (ECF) filed this suit in the U.S. District Court for the Western District of Louisiana against Jonesboro Manufacturing Co., a Monroe, Louisiana-based manufacturing company.[SENTMARKER]The complaint alleged that the defendant had engaged in unlawful employment practices in violation of Title VII of the Civil Rights Act of 1964.[SENTMARKER]Specifically, the complaint alleged a pattern of sexual harassment and retaliation against female employees who complained to the Defendant's management about the defendant's treatment of female employees.[SENTMARKER]The defendant agreed to pay a total of $100,000 to the complainants.[SENTMARKER]The settlement is subject to court approval.[SENTMARKER]The case is closed."
90,"On August 22, 2005, the Equal Employment Opportunity Commission (EEOC) filed this Title VII retaliation claim against Tasa, Inc., (doing business as Orr Minden Country Chevrolet) on behalf of a black employee who had a pending race discrimination charge and no discipline or warnings at the time of his firing.[SENTMARKER]The complaint was filed with a joint motion for a consent decree, which the Court (Donald E. Walter) approved on November 11, 2005.[SENTMARKER]The terms of the decree provided for damages ($60,000 to the employee) and injunctive relief.[SENTMARKER]The parties bore their own costs.[SENTMARKER]Under the decree, Tasa, Inc., had to provide annual Title VII training to all employees in Louisiana, to post an EEOC poster in a conspicuous location, to report to the EEOC annually the date, attendees, and subject matters of the Title VII trainings, and to institute and follow a promotion policy.[SENTMARKER]The promotion policy required that all vacant positions be posted before an employee is promoted to the positions, that all qualified candidates be interviewed, and that all applications, resumes, and interview notes be maintained.[SENTMARKER]The decree expired automatically after three years.[SENTMARKER]The case is now closed.","On October 17, 2003, the Equal Employment Opportunity Commission filed this suit in the U.S. District Court for the Western District of Louisiana against Tasa, Inc. d/b/a Orr Minden Country Chevrolet.[SENTMARKER]The complaint alleged that the defendant violated Title VII of the Civil Rights Act of 1964 by discharging an African American employee in retaliation for filing a charge of discrimination against the defendant with the Commission.[SENTMARKER]The parties entered into a consent decree in which the defendant agreed to pay the plaintiff injunctive and monetary relief, to institute and follow promotion policies and procedures pursuant to which, for the duration of this decree, it shall post all vacant positions before promoting any employee to the position, and to conduct an annual training program for all of its officials, managers, supervisors and employees.[SENTMARKER]The decree also required the defendant to provide the plaintiff with a copy of its anti-retaliation policy and procedures.[SENTMARKER]The consent decree is subject to final approval by the court."
91,"On April 13, 2015, a transgender man who was fired when he refused to sign an agreement to present and be treated as a woman at work as a condition of his employment filed a Title VII sex discrimination claim in the U.S. District Court for the Eastern District of Louisiana.[SENTMARKER]The EEOC later intervened in the case.[SENTMARKER]District Judge Carl Barbier directed the parties to arbitrate the case pursuant to an arbitration agreement between the plaintiff and his employer.[SENTMARKER]After the conclusion of the arbitration, which yielded monetary relief for the individual plaintiff, the EEOC continued to litigate the case to obtain injunctive relief.[SENTMARKER]Judge Barbier entered an 18-month consent decree which required the defendant retrain its employees and post notice of what constitutes a violation of equal employment opportunity policies.","The EEOC brought this suit in the U.S. District Court for the Eastern District of Louisiana against First Tower Loan, LLC, doing business as Tower Loan of Lake Charles, alleging that the defendant violated Title VII of the Civil Rights Act of 1964 and the Louisiana Employment Discrimination Law by terminating a transgender employee because of his sex.[SENTMARKER]The EEOC alleged that the termination constituted unlawful discrimination on the basis of gender identity, sex stereotypes, and gender identity in violation of Title VII.[SENTMARKER]The case was dismissed by Judge Carl Barbier on December 10, 2015.[SENTMARKER]The parties entered into a consent decree on December 5, 2017.[SENTMARKER]The decree required the defendant to comply with the terms of its anti-discrimination policies and to report any complaints of discrimination to its Human Resources office.[SENTMARKER]The decree also required the defendants to pay the EEOC's costs and attorney's fees incurred in the case.[SENTMARKER]The parties agreed that the case should be dismissed because the defendant had not admitted or specifically denied any unlawful employment practices."
92,"On July 8, 2004, the Equal Employment Opportunity Commission filed a lawsuit in the District Court of Maryland, under Title VII of the Civil Rights Act of 1964, against Avado Brands, Inc, alleging that it violated the terms of a prior Negotiated Settlement Agreement with the plaintiffs due to a racially hostile work environment.[SENTMARKER]The parties entered into a consent decree where the defendant, among other things, agreed to pay $9,166.21.","On July 8, 2004, the Baltimore District Office of the EEOC filed this suit in the U.S. District Court for the District of Maryland against Avado Brands, Inc. d/b/a Don Pablo's Restaurant.[SENTMARKER]The complaint alleged that the defendant violated Title VII of the Civil Rights Act of 1964 by engaging in racial discrimination and retaliation against a female employee.[SENTMARKER]The parties entered into a consent decree in which the defendant agreed to pay the female employee in the amount of $50,000.00 for her economic losses, compensatory damages, and punitive damages in accordance with the defendant's Chapter 11 Joint Plan of Reorganization approved by the United States Bankruptcy Court.[SENTMARKER]The decree also required the defendant to provide two (2) hours of anti-harassment training to all management employees at its Maryland facilities concerning race and national origin, prohibition against retaliation and other laws enforced by the EEOC, and provide a list of all employees who have attended and compieted training within a period of two (2) years from the date of the entry of this Decree.[SENTMARKER]The defendant also agreed to post in all or places where notices to employees are customarily posted in the state of Maryland, and maintain tor two years from date of posting, a copy of the 1'oticc attached hereto as Exhihit Band Inude a part hereof.[SENTMARKER]Each party shall hear its OVn costs.[SENTMARKER]The court retained jurisdiction of this action to ensure compliance with the decree."
93,"On September 30, 2004, the Equal Employment Opportunity Commission (""EEOC""), on behalf of an African American employee (plaintiff-intervenor), filed a lawsuit in the District Court of Maryland, under Title VII of the Civil Rights Act of 1964 and Title I of the Civil Rights Act of 1991, against Coca-Cola Enterprises, Inc.[SENTMARKER]The EEOC sought injunctive relief, compensatory damages, punitive damages, attorneys' fees, and other forms of affirmative relief claiming that the defendant did not promote the plaintiff-intervenor because of his race, African American.[SENTMARKER]The parties entered into a consent decree where the defendant, among other things, agreed to promote the plaintiff-intervenor to a higher-paying position as well as pay him $60,500.","The Baltimore District Office of the EEOC brought this suit against Coca-Cola Enterprises, Inc. in the U.S. District Court for the District of Maryland.[SENTMARKER]The complaint alleged that the defendant violated Title VII of the Civil Rights Act of 1964 by refusing to promote Mark Mason to the position of Field Service Manager because of his race, African-American.[SENTMARKER]The defendant also allegedly discriminated on the basis of race in the wages and other compensation and benefits that were paid to Mr. Mason.[SENTMARKER]The parties entered into a consent decree in which the defendant agreed to pay the plaintiff $150,000 in damages and provide two hours of training for all managers above the grade 15 level in the Baltimore/Washington Cooler Service Department.[SENTMARKER]The consent decree was entered by Judge Benson Everett Legdale on October 1, 2005."
94,"The case was brought by African American employees of Friedman's, a jewelry store, and sought equitable and injunctive relief.[SENTMARKER]Plaintiffs alleged they had suffered from working in a racially hostile work environment and alleged that Friedman's had engaged in a pattern and practice of racial discrimination in hiring, promotion, compensation, and other terms and privileges of employment.[SENTMARKER]The case was finally settled on February 12, 2009, after Friedman's had entered into bankruptcy two times.[SENTMARKER]The named plaintiffs and class members received over a million dollars for costs with a portion to cover attorneys' fees.","On March 6, 2003, African American employees of Friedman's, Inc. filed a class action lawsuit in the U.S. District Court for the Northern District of Illinois against St. Paul Mercury Insurance Company (St. Paul) alleging racial discrimination in employment practices.[SENTMARKER]The plaintiffs alleged that Friedman’s had created and maintained a system-wide policy and/or pattern or practice of race-based disparate treatment that limits the employment opportunities of African Americans.[SENTMARKER]The parties sought declaratory and injunctive relief, as well as monetary and punitive damages.[SENTMARKER]On September 30, 2004, the parties filed a bankruptcy petition in the Southern District of Georgia.[SENTMARKER]On January 14, 2005, the parties entered into a settlement agreement in which the parties agreed to pay a total of $1 million to African American applicants who applied for employment at the company in any retail store or in the store organization between March 6, 1999 and December 9, 2005.[SENTMARKER]The parties also agreed to create an Employee Settlement Pool, which would be used to fund the settlement.[SENTMARKER]On March 26, 2003, the parties engaged in mediation, but the mediation failed to produc a settlement and the case was administratively closed on September 30, 2004.[SENTMARKER]The parties then filed a motion for summary judgment, which was denied by the court on January 14, 2005.[SENTMARKER]The case is now closed and the parties are continuing to negotiate the settlement agreement."
