,gold_sents,oreo_pegasus_output_sents
174,"The United States Department of Justice filed a lawsuit under the Fair Housing and Equal Credit Opportunity Acts against PrimeLending, claiming that the defendant displayed a pattern or practice of discrimination in lending on the basis of race against African-American borrowers.[SENTMARKER]The parties entered into a consent order in which Primelending agreed to refrain from practicing race based discrimination, submit to a monitoring and reporting program, provide borrowers with a general notice of nondiscrimination, provide equal credit opportunity training to its employees, provide a total of $2 million to be distributed among those aggrieved,  allocate any unclaimed portion of the $2 million to organizations that provide general financial education to African-American borrowers, and maintain a complaint resolution program to resolve discrimination claims.","The Federal Reserve System found reason to believe that PrimeLending had displayed a pattern or practice of discrimination on the basis of race against African-American borrowers.[SENTMARKER]After receiving the referral from the Board of Governors of the Fed System, the United States Department of Justice filed this complaint in the U.S. District Court for the Southern District of New York.[SENTMARKER]The complaint alleged that the defendant violated the Fair Housing Act and the Equal Credit Opportunity Act.[SENTMARKER]The parties entered into an agreement to resolve the claims voluntarily.[SENTMARKER]The defendant agreed to pay a total of $1 million to settle the claims and to provide equal credit opportunity training to its management officials, loan officers, and any other employees or agents who participate in the origination of loans secured by residential real estate.[SENTMARKER]The defendants also agreed to maintain a robust complaint resolution program to address consumer complaints alleging discrimination regarding loans originated by the Defendant."
175,"On December 19, 2013,  the U.S. Department of Justice filed this lawsuit in the U.S. District Court for the Western District of Texas against Fort Davis State Bank, alleging that it charged Hispanic borrowers higher interest rates on unsecured consumer loans compared to the rates it charged white borrowers, in violation of the Equal Credit Opportunity Act.[SENTMARKER]In January 2014, the District Court (Judge Robert A. Junell) approved a consent order in which the bank agreed to implement a variety of practices to address these alleged violations and to pay damages to aggrieved borrowers.[SENTMARKER]The consent order remained in effect until early 2017.[SENTMARKER]Since there has been no substantive docket activity after 2014, the case is presumably closed.","On December 19, 2013, the U.S. District Court for the Western District of Texas entered a consent order in the case of Fort Davis State Bank (FDSB), a Texas-based bank, in violation of the Equal Credit Opportunity Act (ECOA) by charging Hispanic borrowers higher interest rates on unsecured consumer loans than similarly situated non-Hispanic white borrowers.[SENTMARKER]FDSB's actions, policies, and practices, as alleged herein, constitute discrimination against applicants with respect to credit transactions on the basis of national origin.[SENTMARKER]The consent order was entered by Judge Robert A. Junell on March 7, 2014 and is subject to court approval."
176,"On September 26, 2013, the United States of America filed a lawsuit in the Eastern District of Wisconsin against Southport Bank, under the Fair Housing Act and the Equal Credit Opportunity Act.[SENTMARKER]The plaintiff, represented by the Civil Rights Division of the Department of Justice, sought a declaratory judgment, injunctive relief, compensatory damages to all of the victims of the defendant's discriminatory policies, and a civil penalty, alleging that the defendant discriminated against African American and Hispanic borrowers because of race and national origin in its residential mortgage lending.[SENTMARKER]On October 11, 2013, the District Court (Judge Joseph Peter Stadtmueller) entered a consent order between the parties.[SENTMARKER]The defendant did not admit to any pattern or practice of discrimination.[SENTMARKER]The order enjoined the defendant from engaging in any act or practice that discriminates on the basis of race or national origin in any aspect of a residential real estate-related transaction in violation of the Fair Housing Act or any credit transaction in violation of the Equal Credit Opportunity Act.  Among other things, the defendant's employees will have to participate in a fair lending training program and will be subject to monitoring and reporting requirements.[SENTMARKER]The defendant also has to place $687,000 into a settlement fund to compensate for monetary damages that aggrieved persons may have suffered.[SENTMARKER]The order terminates after three years if the defendant has complied during that time period.","On September 26, 2013, the U.S. District Court for the Eastern District of Wisconsin entered a final judgment against Southport Bank of Kenosha, Wisconsin in a case brought by the Department of Justice under the Fair Housing Act and the Equal Credit Opportunity Act.[SENTMARKER]The final judgment enjoined Southport from engaging in any act or practice that discriminates on the basis of race or ethnic origin in any aspect of a residential real estate-related transaction in violation of the FHA or ECOA.[SENTMARKER]It also awarded monetary damages to all victims of Southport's discriminatory policies and practices for the injuries caused by the Defendant.[SENTMARKER]The judgment is subject to review and approval by the United States."
177,"Following an investigation by the United States Department of Justice, the U.S. filed this lawsuit against the State of Connecticut, its Department of Mental Retardation, and the Director of Southbury Training School (Southbury) on July 25, 1986, alleging that living conditions at Southbury placed residents in grave danger of bodily harm and death.[SENTMARKER]On the same day, the parties also entered into a consent decree that required Southbury to provide better programming, disciplinary procedures, medical care, recordkeeping, and increase staffing.[SENTMARKER]After some problems with compliance and placing the state in contempt, the Court assigned a special master to monitor Southbury.[SENTMARKER]After making significant progress, on March 25, 2006, the court ended judicial oversight, but retained jurisdiction over the consent decree and remedial plan.[SENTMARKER]On November 2, 2009, the Court granted a joint motion to dismiss the case because the parties agreed that the consent decree and remedial plan were fully implemented.","On September 11, 1985, a resident of Southbury Training School ( STS) brought this suit against the State of Connecticut, the Governor, the Commissioner of the Department of Mental Retardation, and the Director of STS, pursuant to the Civil Rights of Institutionalized Persons Act (CRIPA), 42 U.S.C.  1997 et seq., alleging that the defendants were failing to provide persons confined to STS with adequate medical care and treatment.[SENTMARKER]The parties entered into a consent decree, which required the defendants to submit an implementation plan addressing the procedures by which the consent decree would be effectuated.[SENTMARKER]On October 30, 1996, the United States filed its motion to dismiss the appeal.[SENTMARKER]The Court of Appeals for the Second Circuit granted the defendants' motion for summary judgment, finding that the district court did not have jurisdiction over the case."
178,"Disability Rights Washington filed this class action on behalf of individuals with intellectual disabilities in the U.S. District Court for the Western District of Washington in April 2014.[SENTMARKER]They sued the State healthcare authority and department of social services, alleging that budget cuts resulted in inadequate services in violation of the Nursing Home Reform Act.[SENTMARKER]The parties reached a preliminary settlement one year later and the final settlement was approved in January 2017.[SENTMARKER]The settlement is ongoing and under court supervision through September 30, 2020.","On April 16, 2014, Disability Rights Washington (DRW) filed a class action lawsuit in the U.S. District Court for the Western District of Washington on behalf of individuals with developmental disabilities living in nursing homes.[SENTMARKER]The plaintiffs alleged that the defendants violated the Americans with Disabilities Act (ADA) by placing the plaintiffs and the class in segregated facilities in violation of the ADA.[SENTMARKER]The parties reached a settlement agreement in which the defendants agreed to reform their pre-admission screening and resident referral system, required under the Nursing Home Reform Act (PASRR)."
179,"Individuals with intellectual disabilities residing in the Wyoming State Training School filed this lawsuit in 1990 to challenge conditions at the School and a lack of community placement options.[SENTMARKER]The parties agreed in 1991 to a settlement that was designed not only to improve conditions in the institution, but also to prevent unnecessary institutionalization and create options for community living for individuals with intellectual disabilities in Wyoming.[SENTMARKER]The court's jurisdiction was ended in 1994.","January 3, 1990 .<n>Lawsuit was filed in the U.S. District Court for the District of Wyoming on behalf of individuals with developmental disabilities living at the Wyoming State Training School.[SENTMARKER]The plaintiffs alleged repeated abuse of the residents, and the need for community placement.[SENTMARKER]The parties reached an agreement in which the plaintiffs agreed to dismiss the case.[SENTMARKER]The case was closed in June 1992."
180,"These 2007 consolidated cases were brought in the U.S. District Court for the District of Arizona to challenge the ""Legal Arizona Workers Act"", which mandates investigation and prosecution of employers who knowingly or intentionally employ unauthorized aliens and requires the revocation of the licenses of employers found to have done so.[SENTMARKER]It also makes mandatory a previously voluntary verification process.[SENTMARKER]The U.S. Supreme Court affirmed the lower courts' rulings, holding that the Act fell within ICRA's savings clause and thus was not expressly preempted by federal law.","On December 7, 2007, a group of Arizona employers filed suit in the U.S. District Court for the District of Arizona against the federal government, alleging that Arizona's law to revoke business licenses of employers who knowingly or intentionally employ unauthorized aliens was preempted by IRCA's savings clause.[SENTMARKER]The District Court held that the law was not preempted.[SENTMARKER]The Court of Appeals affirmed the District Court's decision.[SENTMARKER]The Supreme Court agreed, holding that the savings clause did not apply to the law.[SENTMARKER]The high court ordered the case to be dismissed."
181,"On July 6, 2010, the United States filed a lawsuit under the Supremacy Clause and the Commerce Clause of the U.S. Constitution against the state of Arizona and the Governor of Arizona in her official capacity in the U.S. District Court of Arizona.[SENTMARKER]The plaintiff claimed that the recently enacted S.B.[SENTMARKER]1070, which contains several provisions designed to ""discourage and deter the unlawful entry and presence of aliens"" in Arizona, impermissibly infringes on the federal government's right to enact and enforce immigration policy.[SENTMARKER]On July 28, 2010, the district court issued a preliminary injunction.[SENTMARKER]The defendant appealed the grant of the injunction.[SENTMARKER]On April 11, 2011, the U.S. Court of Appeals, 9th Circuit, issued an opinion upholding the injunction.[SENTMARKER]The U.S. Supreme Court granted cert on December 12, 2011 and issued their opinion on June 25, 2012.[SENTMARKER]The Supreme Court affirmed in part and reversed in part, striking down most of the challenged provisions of S.B.","On July 6, 2010, the United States filed a complaint in the U.S. District Court for the District of Arizona challenging the constitutionality of Arizona's SB 1070.[SENTMARKER]On July 28, 2010, the district court granted a preliminary injunction in part, enjoining enforcement of S.B.[SENTMARKER]1070, and a writ of certiorari was granted on December 12, 2011.[SENTMARKER]The judgment of the Court of Appeals for the Ninth Circuit was affirmed in part and reversed in part."
182,"On May 17, 2010, a group of organizations and individuals filed a lawsuit against the Sheriff and Attorney of each of the 15 counties in Arizona, in their official capacities, in the U.S. District Court of Arizona, Phoenix Division.[SENTMARKER]The plaintiff, represented by organizations such as the ACLU and the National Immigration Law Center along with private counsel, sought declaratory and injunctive relief, claiming that the recently enacted S.B.[SENTMARKER]1070 was a violation of the Supremacy Clause of the U.S. Constitution.[SENTMARKER]Specifically, the plaintiff contends that S.B.[SENTMARKER]1070 conflicts with federal law and procedures and that local law enforcement agencies are ill equipped to deal with the complexities of immigration law.[SENTMARKER]The district court granted a preliminary injunction in February 2012, which the defendants appealed.[SENTMARKER]In a related case, Arizona v. United States, the U.S. Supreme Court struck down most of S.B.[SENTMARKER]The plaintiffs filed a Motion for Preliminary Injunction against the remaining provisions of S.B.[SENTMARKER]1070 and while the parties were going through discovery disputes, the defendant filed a motion for summary judgment on March 17, 2015.[SENTMARKER]The plaintiff filed a response to the defendant's summary judgment and on September 4, 2015, the district court ruled in favor of the defendant with regard to plaintiff's claims under the Supremacy Clause, Equal Protection Clause, the Fourth Amendment, Article II, Section 8 of the Arizona Constitution, the Due Process Clause, and 42 U.S.C. §1981.[SENTMARKER]Notably, the court also entered a judgment in favor of the plaintiffs on count three claim which was appealed.[SENTMARKER]Finally, on September 15, 2016, both parties conferred and filed a joint case disposition in which the plaintiff settled for $1.4 million.","DATE | ORG | LAW ||| DATE | DATE ||| LAW | DATE [CONTRACTED] On May 17, 2010, the National Immigration Project of the National Lawyers Guild filed this lawsuit in the U.S. District Court for the District of Arizona against the State of Arizona.[SENTMARKER]The plaintiffs alleged that Arizona's SB 1070 violated the Supremacy Clause, the 13th Amendment, the Due Process Clause, and Article II,  8 of the Arizona Constitution.[SENTMARKER]The court granted summary judgment in favor of Arizona on Count 1 (Supremacy Clause) and denied the plaintiffs' motion for preliminary injunctive relief on Count 2 (Due Process Clause) on March 28, 2012.[SENTMARKER]The parties then filed a motion to withdraw on May 25, 2012.[SENTMARKER]On September 19, 2016, the court entered a final injunction against the state."
183,"On June 8, 2015, civil detainees confined in the Tucson Sector of the U.S. Border Patrol filed a class action lawsuit, alleging violations of the Due Process Clause of the Fifth Amendment and the APA due to inhumane and punitive conditions while they were detained in holding cells.[SENTMARKER]The district court granted a PI mandating that defendants must maintain conditions of confinement adequate for the detainees' physical needs and provide detainees with mats and blankets after 12 hours.[SENTMARKER]The Ninth Circuit affirmed the PI order.[SENTMARKER]In 2018 the plaintiffs filed a motion for partial summary judgment on the issue of defendants' obligation to provide raised beds for detainees held for any period requiring sleep; the district court denied this motion.[SENTMARKER]After a 7-day trial in January 2020, the district court held that these extended confinement conditions violated the Constitution and issued an order enjoining the defendants from holding detainees for longer than 48 unless they provided conditions of confinement that meet basic human needs.[SENTMARKER]This permanent injunction was ordered and has been in effect since April 2020.","On June 8, 2015, civil immigration detainees filed a class action lawsuit in the U.S. District Court for the District of Columbia against the Department of Justice.[SENTMARKER]The plaintiffs claimed that the conditions of their brief detention violated the Due Process Clause of the Fifth Amendment, and sought a preliminary injunction relating to the claimed constitutional violations.[SENTMARKER]The district court denied the motion for reconsideration, and the case was closed on April 17, 2020."
184,"In 2018, former Latino/a guests at Motel 6 locations in Arizona filed this class action complaint in the U.S. District Court for the District of Arizona.[SENTMARKER]They alleged that Motel 6's policy of disclosing guests' information to DHS and ICE agents without requiring a warrant or reasonable suspicion of criminal activity violated the United States Constitution and federal and state law.[SENTMARKER]They also alleged Motel 6 conspired with DHS and ICE agents to violate guests’ Fourth Amendment rights.[SENTMARKER]In February 2020, the parties agreed to class action settlement terms and the district court approved the settlement agreement.[SENTMARKER]The court retains jurisdiction over the matter for the duration of the consent decree.","In February 2017, Motel 6 employees at multiple Motel 6 locations in Phoenix, Arizona, disclosed the personal information of guests to DHS and ICE agents without requiring a warrant.[SENTMARKER]The plaintiffs alleged that Motel 6’s policy and/or practice of disclosing guests’ personal information to ICE agents violated the United States Constitution, federal civil rights statutes and Arizona statutes."
185,"Following his arrest and confinement at the Coconino County Detention Facility (CCDF), plaintiff challenged the prolonged detention of inmates at CCDF triggered by detainer requests from the U.S. Immigration and Customs Enforcement Agency (ICE).[SENTMARKER]Plaintiff claimed this policy violated Article II, section 8 of the Arizona Constitution and the Fourth   and Fourteenth Amendments to the United States Constitution.[SENTMARKER]He sought class-wide declaratory and injunctive relief for all CCDF detainees subject to this prolonged detention policy despite their eligibility for pretrial release.[SENTMARKER]The U.S. District Court for the district of Arizona denied the plaintiff's motion for a preliminary injunction, citing his inability to demonstrate a likelihood of success on the merits of his claims.[SENTMARKER]Plaintiff moved to dismiss the case thereafter, which was accepted by the court.","On December 12, 2018, a man in Coconino County, Arizona filed a lawsuit in the U.S. District Court for the Northern District of Arizona against the County, the County Attorney's Office, and the County Detention Facility (CCDF) seeking injunctive relief.[SENTMARKER]The plaintiff alleged that the defendants' policy of prolonging detention of inmates for whom it receives a ""detainer"" request from Immigration and Customs Enforcement (ICE) violated his Fourth and Fourteenth Amendment rights.[SENTMARKER]The court denied the plaintiff's motion for a preliminary injunction, finding that the plaintiff had not shown a likelihood of success."
186,"In June 2017, the Center for Biological Diversity sued DHS and CBP, bringing challenges to the Trump Administration's proposed border wall (FOIA, environmental statutes, APA, IIRIRA).[SENTMARKER]After consolidation with several cases, on Feb.[SENTMARKER]2018, the Court granted the government's motion to dismiss (except for the FOIA claim) and denied plaintiffs' SJ cross-motions.[SENTMARKER]The parties jointly moved to dismiss the FOIA claim.[SENTMARKER]On appeal, the Ninth Circuit affirmed the district court's order.[SENTMARKER]Lastly, the Supreme Court denied the plaintiff's petition for writ of certiorari regarding the constitutional issue of separation of powers in the IIRIRA.[SENTMARKER]The case is now closed.","The Center for Biological Diversity sued the Department of Homeland Security (DHS) and Customs and Border Patrol (CBP) in the U.S. District Court for the District of Columbia for violations of the Freedom of Information Act (F FOIA) and the National Environmental Policy Act (NEPA) in connection with the construction of the border wall prototype and replacement projects.[SENTMARKER]The Center alleged that the DHS and CBP violated FOIA, NEPA, and the ESA by failing to comply with the Center's FOIA requests.[SENTMARKER]The district court granted summary judgment to DHS.[SENTMARKER]The case was dismissed by the district court on cross-motions."
187,"On May 23, 2018 the ACLU of Northern California filed this lawsuit against Immigration and Customs Enforcement (ICE) under the Freedom of Information Act, alleging that ICE had not provided the ACLU with documents they had requested related to ICE's purchase of automated license plate reader data.[SENTMARKER]The parties agreed to a schedule for the documents to be released on a rolling basis, which was completed in November 2018.[SENTMARKER]A settlement also required ICE to pay attorneys' fees.[SENTMARKER]The case is now closed.","On May 23, 2018, the ACLU of Northern California filed a Freedom of Information Act (FOIA) request with the U.S. Immigration and Customs Enforcement (ICE) seeking records related to contracts by and between ICE and any contractors related to automated license plate reader (ALPR) technology, as well as any training materials, privacy guidance, audit logs, and other documents relating to any use and sharing of ALPR data by Defendant.[SENTMARKER]Since that time, ICE has provided ACLU-NC with no records.[SENTMARKER]As of the filing of the complaint, Defendant had not 8 released records responsive to Plaintiff’s requests.[SENTMARKER]Defendant plans to produce any non-exempt records to 15 Plaintiff on a rolling basis until the responses are complete."
188,"Two San Francisco Bay Area fathers filed this class action in the U.S. District Court for the Northern District of California after being detained for over 6 months in ICE custody without a bond hearing.[SENTMARKER]The court granted a preliminary injunction and class certification ordering that individuals detained pursuant to 8 U.S.C. § 1231(a)(6) pending a determination as to whether they can remain in the United States with “live claims”  before an adjudicative body cannot be detained for more than 180 days without a bond hearing.[SENTMARKER]The government appealed both orders to the Ninth Circuit, and on April 7, 2020, the Ninth Circuit affirmed the district court's order.[SENTMARKER]Following plaintiffs' motion to enforce the preliminary injunction, the court granted it in part, finding that the defendants had not substantially complied with certain requirements, but denied it in part.[SENTMARKER]As of April 16, 2021, this case is pending a writ of certiorari in front of the Supreme Court.","On April 7, 2020, the U.S. District Court for the Northern District of California granted a preliminary injunction against the government in a class action brought by noncitizens detained under Section 1231(a) of the Immigration and Nationality Act.[SENTMARKER]The plaintiffs alleged that the government detained them for more than 180 days without providing each of them with a bond hearing before an IJ as required by the district court.[SENTMARKER]The district court granted the preliminary injunction, and the plaintiffs filed a motion to enforce the injunction in November 2018.[SENTMARKER]In April 2020, the Ninth Circuit affirmed the District Court's preliminary injunction and the class certification order."
189,"On June 7, 2018, Community Legal Services in East Palo Alto and the National Immigration Project of the National Lawyers Guild filed this lawsuit against the U.S. Department of Homeland Security and the U.S. Immigration and Customs Enforcement for failure to comply with a Freedom of Information Act (FOIA) request submitted on March 2, 2017.[SENTMARKER]The parties settled in August 2020, resulting in a $16,000 litigation expenses and the release of the requested documents.","On March 2, 2017, Community Legal Services in East Palo Alto and National Immigration Project of the National Lawyers Guild filed a Freedom of Information Act (F.I.A.)[SENTMARKER]request against the U.S. Department of Homeland Security (DHS) and Homeland Security Immigration and Customs Enforcement (ICE).[SENTMARKER]The plaintiffs alleged that DHS and ICE violated the FOIA by failing to comply with the plaintiffs' requests for information.[SENTMARKER]The FOIA request was granted by Judge Laurel Beeler of the United States District Court for the Northern District of California on March 3, 2017."
190,"A group of Iranian refugees and their U.S. sponsors filed this class action lawsuit in the U.S. District Court for the Northern District of California after the Department of Homeland Security (DHS) denied their refugee resettlement applications en masse in February 2018.[SENTMARKER]The plaintiffs applied for refugee resettlement through the Vienna, Austria-based Lautenberg-Specter program for Iranian religious minorities, but received mass denials with the sole explanation that they were denied ""as a matter of discretion.""[SENTMARKER]The plaintiffs alleged that this violated the Lautenberg Amendment, which mandates that the denial state ""to the maximum extent feasible, the reason for the denial,"" as well as Fifth Amendment due process and DHS's own regulations.[SENTMARKER]On July 2018, the court declared the denial notices unlawful, and ordered DHS to re-issue new notices.[SENTMARKER]As of June 3, 2020, the case is still ongoing.","In February 2018, a group of Iranian refugees filed a class action lawsuit in the U.S. District Court for the Northern District of California against the Department of Homeland Security (DHS) and the Vienna Lautenberg-Specter program.[SENTMARKER]The plaintiffs alleged that the defendants' implementation of changes to the program caused mass denials of refugee applications from Iranian religious minorities.[SENTMARKER]Specifically, the plaintiffs sought an order setting aside the notices of ineligibility as unlawful for two failing to state, ""to the maximum extent feasible, the reason for the denial"" as required by the Lautenburg Amendment.[SENTMARKER]The district court granted the plaintiffs' motion for summary judgment, and the case is now closed."
191,"The city and county of San Francisco brought this lawsuit in the U.S. District Court for the Northern District of California, alleging that the Department of Justice (DOJ) had unlawfully conditioned states' acceptance of certain federal funds on their compliance with federal immigration enforcement efforts.[SENTMARKER]The plaintiff alleged that these conditions violated the Spending Clause and the separation of powers under the Constitution.[SENTMARKER]The Court granted summary judgment for the plaintiff in March, 2019.","The U.S. District Court for the Northern District of California granted summary judgment to the Department of Justice (DOJ) in a lawsuit brought by the City of San Francisco and the State of California.[SENTMARKER]The two cities challenged the DOJ's attempt to impose immigration-related requirements on FY 2017 Byrne JAG funds.[SENTMARKER]The complaint alleged that the conditions were unconstitutional violations of the separation of powers and the spending clause of the United States Constitution.[SENTMARKER]The parties sought declaratory relief, enjoining the 2 DOJ from enforcing the challenged conditions or withholding funds based on those 3 requirements."
192,"On February 14, 2019, a group of asylum seekers from Central America and several legal organizations filed this lawsuit against the Trump Administration in the U.S. District Court for the Northern District of California.[SENTMARKER]The plaintiffs alleged that the Administration's new policy of forcing asylum seekers to return to Mexico while awaiting their court hearings (the Migrant Protection Protocols), violated the INA and APA.[SENTMARKER]The district court issued a nationwide injunction which was later affirmed by the Ninth Circuit, but the U.S. Supreme Court subsequently halted the injunction, leaving the MPP in effect nationwide.On April 10, 2020, the government filed a petitino for certiorari with the Supreme Court.[SENTMARKER]On October 19, 2020, the Supreme Court granted certi.","This case challenges the federal government's new policy of forcing asylum seekers to return to Mexico while they await their removal proceedings, in violation of the 4 humanitarian protections to which they are entitled under U.S. and international law.[SENTMARKER]The plaintiffs are nonprofit organizations that provide legal assistance to 12 asylum seekers from Central America and other parts of the world, the majority of whom arrive through the southern border.[SENTMARKER]The government contends that the new forced return policy is consistent with  1225(b) of the Immigration and Nationality Act.[SENTMARKER]The case is now in effect in the four states along our southern border with Mexico."
193,"On June 16, 2019, plaintiffs--three immigration attorneys and two noncitizens who filed FOIA (FOIA) requests for individual immigration case files (known as A-Files)--filed this class-action suit in the United States District Court for the Northern District of California.[SENTMARKER]Plaintiffs, represented by the American Immigration Council and the Northwest Immigrant Rights Project, sought declaratory relief that defendants’ failure to make timely determinations on plaintiffs’ and proposed classes’ A-File FOIA requests violates FOIA, and a nationwide injunction requiring defendants to make timely determinations.[SENTMARKER]The court granted the plaintiffs' request for declaratory and injunctive relief and ordered the defendants to provide quarterly reports on their compliance with the FOIA.","On December 12, 2018, the Northern District of California entered a nationwide injunction against the U.S. Department of Justice (DOJ) for failing to comply with the Freedom of Information Act (FOIA) by failing to respond to FOIA requests filed by three immigration attorneys and two noncitizens.[SENTMARKER]The plaintiffs sought declaratory relief that defendants’ failure to make timely determinations on plaintiffs’ and proposed classes’ A-File FOIA requests violated 17 FOIA, and nationwide injunctions requiring defendants to make a timely determination on each FOIA request."
194,"This lawsuit was filed in response to a July 6, 2020 ICE directive that would effectively force out of the country many international students studying remotely during the 2020 coronavirus pandemic.[SENTMARKER]The University of California filed suit claiming that the directive was in violation of the Administrative Procedure Act. Plaintiffs sought a temporary restraining order and an order vacating and setting aside the policy.[SENTMARKER]They also sought declarative relief and attorney's fees.[SENTMARKER]In a different lawsuit filed against the administration over the same July directive, the plaintiffs met with counsel for the government and worked to get the regulations rescinded.[SENTMARKER]In order to effectuate the rescission, ICE removed the guidance from its website and replaced it with the previous guidance and as a result, plaintiffs withdrew their motion for a preliminary injunction.[SENTMARKER]The plaintiffs in this case continued to monitor the alterations ICE made to its website between July and September and filed a notice of voluntary dismissal on October 6, 2020.","On July 6, 2020, the University of California, Riverside (UCR) filed this suit in the U.S. District Court for the Central District of California against the Department of Immigration and Customs Enforcement (ICE) seeking a temporary restraining order (TRO) to prevent ICE from implementing a policy requiring international students holding F-1 nonimmigrant student visas during the COVID-19 pandemic to return to campus.[SENTMARKER]The complaint alleged that the TRO was a violation of the Administrative Procedure Act (APA) and the California Public Health Act (CPA).[SENTMARKER]Specifically, the suit alleged that ICE's policy required international students to remain in their dorms during the pandemic.[SENTMARKER]The court granted the University's motion for a preliminary injunction in March 2020, and the case is ongoing."
195,"Seven unnamed individuals sued ICE and DHS over their new directive that would effectively force international students to take in-person classes or risk deportation.[SENTMARKER]The suit alleged violations of the Administrative Procedure Act (APA) and the Due Process Clause.[SENTMARKER]Plaintiffs sought injunctive relief prohibiting the enforcement of the directive and an order vacating the directive.[SENTMARKER]On July 15, in a different lawsuit filed against the administration over the same July directive, plaintiffs met with counsel for the government and worked to get the regulations rescinded.[SENTMARKER]In order to effectuate the rescission, ICE removed the guidance from its website and replaced it with the previous guidance, but the plaintiffs in this case filed an amended complaint that sought a formal declaration that the July 6 directive was improperly issued and an order that the government administer the student visa program in accordance with the March guidance for the duration of the emergency.[SENTMARKER]The court found that the students' claims were mooted by the rescission and granted the government's motion to dismiss on October 1, 2020.","On March 20, 2020, a group of college students filed a lawsuit in the U.S. District Court for the District of Columbia against the Department of Homeland Security (DHS) alleging that the agency's March 2020 COVID-19 emergency guidance was unlawful and violated the Administrative Procedure Act (APA) and the Due Process Clause (DPC) of the Constitution.[SENTMARKER]On July 6, 2020, the defendants issued a revised guidance, which was later rescinded.[SENTMARKER]The defendants filed a motion to dismiss, claiming that the rescission of the July 6 guidance mooted this action in its entirety and that it should be dismissed altogether.[SENTMARKER]The district court granted the defendants' motion for summary judgment, and the case is ongoing."
196,"In 2020, the State of California, the City of Los Angeles, the City of Long Beach, the City of Oakland, and the Los Angeles Unified School District filed this lawsuit in the Northern District of California.[SENTMARKER]The plaintiffs alleged that President Trump's Memorandum violated the constitutional mandates for the census (actual enumeration and apportionment) and separation of powers, as well as violating the Census Act and the Administrative Procedure Act.[SENTMARKER]The case is ongoing as of September 28, 2020.","On March 6, 2019, the U.S. Attorney's Office for the Central District of California filed this lawsuit in the United States District Court for the District of Los Angeles against President Donald Trump and the Secretary of the Department of Justice.[SENTMARKER]The complaint alleges that the President and Secretary violated the 5 Census Act, the Administrative Procedure Act, and the Constitution's separation of powers.[SENTMARKER]The plaintiffs allege that they were deprived of their rightful share of congressional representatives by the President's actions and decisions, including by depressing the 2020 Census count itself, which remains ongoing."
197,"The Civil Rights Education and Enforcement Center (CREEC) filed this suit against DHS and ICE under FOIA, seeking information regarding substandard and abusive conditions of confinement against individuals detained at two immigration detention facilities.[SENTMARKER]As of March 25, 2021, a settlement has been reached as to the evidence, but litigation continues for the plaintiff's attorney's fees and costs.","The Colorado Civil Rights Education and Enforcement Center (CREC) filed a Freedom of Information Act (FOIA) request with the U.S. Attorney's Office for the District of Colorado seeking records and data regarding substandard conditions of confinement at the Aurora detention facility.[SENTMARKER]As of this date, CREEC has not received any response to its request for documents involving the facility."
198,"On August 10, 2007, attorneys and Yale Law student interns filed a lawsuit under the Freedom of Information Act seeking documents from the U.S. Department of Homeland Security regarding an immigration raid in New Haven.[SENTMARKER]After several rounds of in camera reviews by the District Court (Judge Mark R. Kravitz), the parties settled the dispute in November of 2009.","En Accion et al v. Department of Homeland Security (New Haven, N.Y.)[SENTMARKER]Department of Homeland Security (New Haven, N.Y.)[SENTMARKER]2007 U.S. District Court for the District of Connecticut .<n>On August 10, 2007, the plaintiffs filed a complaint under the Freedom of Information Act (FOIA) seeking the release of documents related to the detention and deportation of illegal immigrants in the United States.[SENTMARKER]The parties agreed to an in-camera review of the documents, and the Court held a telephone conference with the parties to discuss the documents.[SENTMARKER]On August 15, 2008, the Court denied the plaintiffs' motion for partial summary judgment, finding that the documents were not subject to FOIA."
199,"On Jan.[SENTMARKER]6, 2015, Central American immigrant mothers and children filed a class action lawsuit against DHS and ICE, challenging their ""No-Release Policy"" in making custody determinations for asylum-seeking families.[SENTMARKER]On Feb.[SENTMARKER]20, 2015, the Court granted a preliminary injunction.[SENTMARKER]Defendants ended the policy in May 2015.[SENTMARKER]This case is now administratively closed.[SENTMARKER]If the defendants reinstate a policy of considering deterrence in determining whether to detain a family, they must notify the court and the plaintiffs may move to administratively reopen the case.[SENTMARKER]Since June 2015, there has been no additional activity in the case.","In June 2014, a group of Central American asylum seekers filed a class action lawsuit in the U.S. District Court for the Southern District of New York, alleging that the Department of Homeland Security (DHS) was violating the Constitution by detaining asylum seekers in family detention facilities.[SENTMARKER]The plaintiffs sought injunctive relief, including the creation of a categorical No-Release Policy.[SENTMARKER]On January 6, 2015, the court granted the plaintiffs' motion for a preliminary injunction, and the defendants filed a motion to dismiss the case.[SENTMARKER]The defendants argued that the class action was improper because the plaintiffs were not able to establish a categorical no-release policy, and that ICE treats deterrence of mass immigration as a factor in making custody determinations.[SENTMARKER]The court denied the defendants' motion, finding that ICE's policy of considering deterrence has profound and immediate consequences for asylum seekers detained as a result."
